Age;Male_Hazard_Rate;Female_Hazard_Rate
18;0.00099443;0.00028563
19;0.00099443;0.00028563
20;0.00099443;0.00028563
21;0.0009989;0.0002972
22;0.00100434;0.00031003
23;0.00101093;0.00032427
24;0.0010189;0.00034008
25;0.00102851;0.00035761
26;0.00104003;0.00037707
27;0.00105381;0.00039865
28;0.00107025;0.00042261
29;0.00108979;0.00044919
30;0.00111293;0.00047868
31;0.00114027;0.00051141
32;0.00117245;0.00054772
33;0.00121024;0.00058801
34;0.00125446;0.00063272
35;0.00130607;0.00068233
36;0.00136613;0.00073737
37;0.00143584;0.00079844
38;0.0015165;0.00086621
39;0.00160961;0.0009414
40;0.0017168;0.00102482
41;0.00183987;0.00111738
42;0.00198083;0.00122008
43;0.00214189;0.00133403
44;0.00232546;0.00146045
45;0.00253421;0.00160071
46;0.00277103;0.00175633
47;0.00303911;0.00192898
48;0.00334191;0.00212053
49;0.00368321;0.00233303
50;0.0040671;0.00256877
51;0.00449803;0.00283029
52;0.00498082;0.00312041
53;0.00552068;0.00344223
54;0.00612324;0.00379921
55;0.0067946;0.00419517
56;0.0075413;0.00463437
57;0.00837042;0.00512148
58;0.00928955;0.00566173
59;0.01030686;0.00626085
60;0.01143116;0.00692523
61;0.01267187;0.00766194
62;0.01403912;0.00847876
63;0.01554378;0.00938436
64;0.0171975;0.01038826
65;0.01901279;0.01150103
66;0.02100303;0.01273434
67;0.02318257;0.01410105
68;0.02556678;0.01561538
69;0.02817213;0.017293
70;0.03101626;0.01915121
71;0.03411802;0.02120901
72;0.03749763;0.02348736
73;0.04117671;0.02600929
74;0.04517838;0.02880007
75;0.04952736;0.03188746
76;0.0542501;0.03530183
77;0.05937481;0.03907643
78;0.06493165;0.04324756
79;0.07095275;0.04785479
80;0.07747235;0.05294115
81;0.08452688;0.05855334
82;0.09215504;0.06474189
83;0.10039784;0.07156129
84;0.10929869;0.07907013
85;0.11890336;0.08733111
86;0.12926;0.09641105
87;0.14041901;0.10638074
88;0.15243295;0.11731472
89;0.16535628;0.1292909
90;0.17924507;0.14238994
91;0.19415654;0.15669452
92;0.2101485;0.17228824
93;0.22727854;0.18925425
94;0.24560309;0.20767353
95;0.26517618;0.22762276
96;0.28604795;0.24917169
97;0.30826278;0.2723801
98;0.3318571;0.29729417
99;0.35685678;0.32394238
